__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 10:52:03,706 INFO  [it.uni.reti2.main] (main) 🚉 Avvio processo Stazione con ID: TO
2026-08-16 11:02:25,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:02:25.942066318Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:02:35,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:02:35.941667034Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:02:45,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:02:45.942701523Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:02:55,940 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:02:55.939994096Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:03:05,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:03:05.942647156Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:03:15,938 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:03:15.938300318Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:03:25,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:03:25.942723358Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:03:35,936 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:03:35.936830633Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:03:45,943 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:03:45.943086547Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:03:55,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:03:55.941649081Z","tipoEvento":"HEARTBEAT","bufferSize":0}
